"logger","datetime","temperature","conductivity"
"21038941","07/16/21 05:00:00 PM",27.764,104711.8
"21038941","07/16/21 05:15:00 PM",27.862,99200.7
"21038941","07/16/21 05:30:00 PM",27.961,99200.7
"21038941","07/16/21 05:45:00 PM",27.764,99200.7
"21038941","07/16/21 06:00:00 PM",27.665,99200.7
"21038941","07/16/21 06:15:00 PM",27.468,99200.7
"21038941","07/16/21 06:30:00 PM",27.272,99200.7
"21038941","07/16/21 06:45:00 PM",26.977,99200.7
"21038941","07/16/21 07:00:00 PM",26.683,93689.5
"21038941","07/16/21 07:15:00 PM",26.488,93689.5
"21038941","07/16/21 07:30:00 PM",26.292,93689.5
"21038941","07/16/21 07:45:00 PM",26.097,93689.5
"21038941","07/16/21 08:00:00 PM",25.902,93689.5
"21038941","07/16/21 08:15:00 PM",25.61,93689.5
"21038941","07/16/21 08:30:00 PM",25.416,93689.5
"21038941","07/16/21 08:45:00 PM",25.125,93689.5
"21038941","07/16/21 09:00:00 PM",24.931,88178.4
"21038941","07/16/21 09:15:00 PM",24.641,88178.4
"21038941","07/16/21 09:30:00 PM",24.448,88178.4
"21038941","07/16/21 09:45:00 PM",24.158,88178.4
"21038941","07/16/21 10:00:00 PM",23.966,88178.4
"21038941","07/16/21 10:15:00 PM",23.773,88178.4
"21038941","07/16/21 10:30:00 PM",23.581,88178.4
"21038941","07/16/21 10:45:00 PM",23.388,88178.4
"21038941","07/16/21 11:00:00 PM",23.196,88178.4
"21038941","07/16/21 11:15:00 PM",23.004,88178.4
"21038941","07/16/21 11:30:00 PM",22.908,88178.4
"21038941","07/16/21 11:45:00 PM",22.717,88178.4
"21038941","07/17/21 12:00:00 AM",22.621,88178.4
"21038941","07/17/21 12:15:00 AM",22.525,88178.4
"21038941","07/17/21 12:30:00 AM",22.429,88178.4
"21038941","07/17/21 12:45:00 AM",22.333,88178.4
"21038941","07/17/21 01:00:00 AM",22.238,88178.4
"21038941","07/17/21 01:15:00 AM",22.238,88178.4
"21038941","07/17/21 01:30:00 AM",22.238,88178.4
"21038941","07/17/21 01:45:00 AM",22.238,88178.4
"21038941","07/17/21 02:00:00 AM",22.142,88178.4
"21038941","07/17/21 02:15:00 AM",22.142,88178.4
"21038941","07/17/21 02:30:00 AM",22.142,60622.6
"21038941","07/17/21 02:45:00 AM",21.569,44089.2
"21038941","07/17/21 03:00:00 AM",21.569,52355.9
"21038941","07/17/21 03:15:00 AM",21.76,49600.3
"21038941","07/17/21 03:30:00 AM",21.664,52355.9
"21038941","07/17/21 03:45:00 AM",21.473,41333.6
"21038941","07/17/21 04:00:00 AM",21.473,44089.2
"21038941","07/17/21 04:15:00 AM",21.569,46844.8
"21038941","07/17/21 04:30:00 AM",21.569,49600.3
"21038941","07/17/21 04:45:00 AM",21.569,52355.9
"21038941","07/17/21 05:00:00 AM",21.664,55111.5
"21038941","07/17/21 05:15:00 AM",21.664,55111.5
"21038941","07/17/21 05:30:00 AM",21.664,57867
"21038941","07/17/21 05:45:00 AM",21.569,57867
"21038941","07/17/21 06:00:00 AM",21.569,60622.6
"21038941","07/17/21 06:15:00 AM",21.569,60622.6
"21038941","07/17/21 06:30:00 AM",21.569,63378.2
"21038941","07/17/21 06:45:00 AM",21.569,63378.2
"21038941","07/17/21 07:00:00 AM",21.569,66133.8
"21038941","07/17/21 07:15:00 AM",21.473,66133.8
"21038941","07/17/21 07:30:00 AM",21.473,68889.3
"21038941","07/17/21 07:45:00 AM",21.473,68889.3
"21038941","07/17/21 08:00:00 AM",21.473,68889.3
"21038941","07/17/21 08:15:00 AM",21.473,71644.9
"21038941","07/17/21 08:30:00 AM",21.473,71644.9
"21038941","07/17/21 08:45:00 AM",21.473,74400.5
"21038941","07/17/21 09:00:00 AM",21.473,74400.5
"21038941","07/17/21 09:15:00 AM",21.473,77156.1
"21038941","07/17/21 09:30:00 AM",21.473,77156.1
"21038941","07/17/21 09:45:00 AM",21.569,79911.6
"21038941","07/17/21 10:00:00 AM",21.664,79911.6
"21038941","07/17/21 10:15:00 AM",21.76,82667.2
"21038941","07/17/21 10:30:00 AM",21.855,82667.2
"21038941","07/17/21 10:45:00 AM",21.951,82667.2
"21038941","07/17/21 11:00:00 AM",22.046,85422.8
"21038941","07/17/21 11:15:00 AM",22.142,85422.8
"21038941","07/17/21 11:30:00 AM",22.333,85422.8
"21038941","07/17/21 11:45:00 AM",22.525,88178.4
"21038941","07/17/21 12:00:00 PM",22.717,88178.4
"21038941","07/17/21 12:15:00 PM",22.717,88178.4
"21038941","07/17/21 12:30:00 PM",22.621,88178.4
"21038941","07/17/21 12:45:00 PM",22.621,88178.4
"21038941","07/17/21 01:00:00 PM",22.621,88178.4
"21038941","07/17/21 01:15:00 PM",22.717,88178.4
"21038941","07/17/21 01:30:00 PM",22.908,88178.4
"21038941","07/17/21 01:45:00 PM",23.004,88178.4
"21038941","07/17/21 02:00:00 PM",23.196,88178.4
"21038941","07/17/21 02:15:00 PM",23.292,88178.4
"21038941","07/17/21 02:30:00 PM",23.484,88178.4
"21038941","07/17/21 02:45:00 PM",23.677,88178.4
"21038941","07/17/21 03:00:00 PM",24.062,88178.4
"21038941","07/17/21 03:15:00 PM",24.158,88178.4
"21038941","07/17/21 03:30:00 PM",24.351,88178.4
"21038941","07/17/21 03:45:00 PM",24.255,88178.4
"21038941","07/17/21 04:00:00 PM",24.158,93689.5
