"Plot Title: 21064688"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21064688, SEN S/N: 21064688)","Intensity, Lux (LGR S/N: 21064688, SEN S/N: 21064688)","End Of File (LGR S/N: 21064688)"
1,09/15/21 02:45:00 PM,36.946,0.0,
2,09/15/21 03:00:00 PM,34.479,0.0,
3,09/15/21 03:15:00 PM,32.394,0.0,
4,09/15/21 03:30:00 PM,31.370,0.0,
5,09/15/21 03:45:00 PM,30.862,0.0,
6,09/15/21 04:00:00 PM,30.457,0.0,
7,09/15/21 04:15:00 PM,29.953,0.0,
8,09/15/21 04:30:00 PM,29.152,0.0,
9,09/15/21 04:45:00 PM,28.357,0.0,
10,09/15/21 05:00:00 PM,27.665,0.0,
11,09/15/21 05:15:00 PM,27.370,0.0,
12,09/15/21 05:30:00 PM,26.977,0.0,
13,09/15/21 05:45:00 PM,26.488,0.0,
14,09/15/21 06:00:00 PM,26.097,0.0,
15,09/15/21 06:15:00 PM,25.805,0.0,
16,09/15/21 06:30:00 PM,25.319,0.0,
17,09/15/21 06:45:00 PM,24.931,0.0,
18,09/15/21 07:00:00 PM,24.448,0.0,
19,09/15/21 07:15:00 PM,23.966,0.0,
20,09/15/21 07:30:00 PM,23.196,0.0,
21,09/15/21 07:45:00 PM,22.333,0.0,
22,09/15/21 08:00:00 PM,21.664,0.0,
23,09/15/21 08:15:00 PM,20.996,0.0,
24,09/15/21 08:30:00 PM,20.519,0.0,
25,09/15/21 08:45:00 PM,20.234,0.0,
26,09/15/21 09:00:00 PM,19.948,0.0,
27,09/15/21 09:15:00 PM,19.758,0.0,
28,09/15/21 09:30:00 PM,19.758,0.0,
29,09/15/21 09:45:00 PM,19.758,0.0,
30,09/15/21 10:00:00 PM,19.567,0.0,
31,09/15/21 10:15:00 PM,19.377,0.0,
32,09/15/21 10:30:00 PM,19.187,0.0,
33,09/15/21 10:45:00 PM,19.092,0.0,
34,09/15/21 11:00:00 PM,18.901,0.0,
35,09/15/21 11:15:00 PM,18.901,0.0,
36,09/15/21 11:30:00 PM,18.996,0.0,
37,09/15/21 11:45:00 PM,19.092,0.0,
38,09/16/21 12:00:00 AM,19.092,0.0,
39,09/16/21 12:15:00 AM,18.996,0.0,
40,09/16/21 12:30:00 AM,18.996,0.0,
41,09/16/21 12:45:00 AM,18.996,0.0,
42,09/16/21 01:00:00 AM,18.996,0.0,
43,09/16/21 01:15:00 AM,18.996,0.0,
44,09/16/21 01:30:00 AM,18.996,0.0,
45,09/16/21 01:45:00 AM,18.996,0.0,
46,09/16/21 02:00:00 AM,18.996,0.0,
47,09/16/21 02:15:00 AM,18.901,0.0,
48,09/16/21 02:30:00 AM,18.901,0.0,
49,09/16/21 02:45:00 AM,18.806,0.0,
50,09/16/21 03:00:00 AM,18.616,0.0,
51,09/16/21 03:15:00 AM,18.521,0.0,
52,09/16/21 03:30:00 AM,18.331,0.0,
53,09/16/21 03:45:00 AM,18.236,0.0,
54,09/16/21 04:00:00 AM,18.236,0.0,
55,09/16/21 04:15:00 AM,18.045,0.0,
56,09/16/21 04:30:00 AM,17.950,0.0,
57,09/16/21 04:45:00 AM,17.950,0.0,
58,09/16/21 05:00:00 AM,17.760,0.0,
59,09/16/21 05:15:00 AM,17.665,0.0,
60,09/16/21 05:30:00 AM,17.665,0.0,
61,09/16/21 05:45:00 AM,17.570,0.0,
62,09/16/21 06:00:00 AM,17.475,0.0,
63,09/16/21 06:15:00 AM,17.475,0.0,
64,09/16/21 06:30:00 AM,17.475,0.0,
65,09/16/21 06:45:00 AM,17.475,0.0,
66,09/16/21 07:00:00 AM,17.475,0.0,
67,09/16/21 07:15:00 AM,17.475,0.0,
68,09/16/21 07:30:00 AM,17.570,0.0,
69,09/16/21 07:45:00 AM,17.665,0.0,
70,09/16/21 08:00:00 AM,17.950,0.0,
71,09/16/21 08:15:00 AM,18.236,0.0,
72,09/16/21 08:30:00 AM,18.616,0.0,
73,09/16/21 08:45:00 AM,19.092,0.0,
74,09/16/21 09:00:00 AM,19.662,0.0,
75,09/16/21 09:15:00 AM,20.329,0.0,
76,09/16/21 09:30:00 AM,21.187,0.0,
77,09/16/21 09:45:00 AM,22.333,0.0,
78,09/16/21 10:00:00 AM,23.869,0.0,
79,09/16/21 10:15:00 AM,27.075,0.0,
80,09/16/21 10:30:00 AM,30.255,0.0,
81,09/16/21 10:45:00 AM,33.014,0.0,
82,09/16/21 11:00:00 AM,35.222,0.0,
83,09/16/21 11:15:00 AM,36.620,0.0,
84,09/16/21 11:30:00 AM,35.756,0.0,
85,09/16/21 11:45:00 AM,36.620,0.0,
86,09/16/21 12:00:00 PM,36.187,0.0,
87,09/16/21 12:15:00 PM,37.824,0.0,
88,09/16/21 12:30:00 PM,40.185,0.0,
89,09/16/21 12:45:00 PM,41.341,0.0,
90,09/16/21 01:00:00 PM,40.415,0.0,
91,09/16/21 01:15:00 PM,40.071,0.0,
92,09/16/21 01:30:00 PM,40.415,0.0,
93,09/16/21 01:45:00 PM,41.692,0.0,
94,09/16/21 02:00:00 PM,42.401,0.0,
