"Plot Title: 21044159"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21044159, SEN S/N: 21044159)","Intensity, Lux (LGR S/N: 21044159, SEN S/N: 21044159)","Coupler Attached (LGR S/N: 21044159)","Stopped (LGR S/N: 21044159)","End Of File (LGR S/N: 21044159)"
1,09/27/21 11:00:00 AM,19.092,110223.0,,,
2,09/27/21 11:15:00 AM,18.711,99200.7,,,
3,09/27/21 11:30:00 AM,19.377,99200.7,,,
4,09/27/21 11:45:00 AM,19.948,99200.7,,,
5,09/27/21 12:00:00 PM,20.805,99200.7,,,
6,09/27/21 12:15:00 PM,21.282,104711.8,,,
7,09/27/21 12:30:00 PM,21.855,104711.8,,,
8,09/27/21 12:45:00 PM,22.812,104711.8,,,
9,09/27/21 01:00:00 PM,23.196,104711.8,,,
10,09/27/21 01:15:00 PM,23.677,104711.8,,,
11,09/27/21 01:30:00 PM,23.966,104711.8,,,
12,09/27/21 01:45:00 PM,24.641,104711.8,,,
13,09/27/21 02:00:00 PM,25.125,104711.8,,,
14,09/27/21 02:15:00 PM,25.610,104711.8,,,
15,09/27/21 02:30:00 PM,25.902,104711.8,,,
16,09/27/21 02:45:00 PM,26.390,104711.8,,,
17,09/27/21 03:00:00 PM,26.683,104711.8,,,
18,09/27/21 03:15:00 PM,26.683,104711.8,,,
19,09/27/21 03:30:00 PM,26.879,110223.0,,,
20,09/27/21 03:45:00 PM,26.781,104711.8,,,
21,09/27/21 04:00:00 PM,26.585,104711.8,,,
22,09/27/21 04:15:00 PM,26.390,104711.8,,,
23,09/27/21 04:30:00 PM,26.292,104711.8,,,
24,09/27/21 04:45:00 PM,26.097,104711.8,,,
25,09/27/21 05:00:00 PM,25.902,104711.8,,,
26,09/27/21 05:15:00 PM,25.805,104711.8,,,
27,09/27/21 05:30:00 PM,25.513,104711.8,,,
28,09/27/21 05:45:00 PM,25.319,104711.8,,,
29,09/27/21 06:00:00 PM,25.125,104711.8,,,
30,09/27/21 06:15:00 PM,24.931,104711.8,,,
31,09/27/21 06:30:00 PM,24.738,104711.8,,,
32,09/27/21 06:45:00 PM,24.545,104711.8,,,
33,09/27/21 07:00:00 PM,24.351,104711.8,,,
34,09/27/21 07:15:00 PM,24.158,104711.8,,,
35,09/27/21 07:30:00 PM,23.869,99200.7,,,
36,09/27/21 07:45:00 PM,23.581,99200.7,,,
37,09/27/21 08:00:00 PM,23.388,99200.7,,,
38,09/27/21 08:15:00 PM,23.100,99200.7,,,
39,09/27/21 08:30:00 PM,22.908,99200.7,,,
40,09/27/21 08:45:00 PM,22.621,99200.7,,,
41,09/27/21 09:00:00 PM,22.429,99200.7,,,
