"Plot Title: 20821662"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20821662, SEN S/N: 20821662)","Intensity, Lux (LGR S/N: 20821662, SEN S/N: 20821662)","Good Battery (LGR S/N: 20821662)","Coupler Attached (LGR S/N: 20821662)","Host Connected (LGR S/N: 20821662)","Stopped (LGR S/N: 20821662)","End Of File (LGR S/N: 20821662)"
1,01/14/22 05:00:00 PM,20.710,0.0,Logged,,,,
2,01/14/22 05:15:00 PM,20.901,0.0,,,,,
3,01/14/22 05:30:00 PM,20.996,0.0,,,,,
4,01/14/22 05:45:00 PM,21.091,0.0,,,,,
5,01/14/22 06:00:00 PM,21.187,0.0,,,,,
6,01/14/22 06:15:00 PM,21.282,0.0,,,,,
7,01/14/22 06:30:00 PM,21.378,0.0,,,,,
8,01/14/22 06:45:00 PM,21.378,0.0,,,,,
9,01/14/22 07:00:00 PM,21.473,0.0,,,,,
10,01/14/22 07:15:00 PM,21.569,0.0,,,,,
11,01/14/22 07:30:00 PM,21.569,0.0,,,,,
12,01/14/22 07:45:00 PM,21.569,0.0,,,,,
13,01/14/22 08:00:00 PM,21.664,0.0,,,,,
14,01/14/22 08:15:00 PM,21.664,0.0,,,,,
15,01/14/22 08:30:00 PM,21.664,0.0,,,,,
16,01/14/22 08:45:00 PM,21.664,0.0,,,,,
17,01/14/22 09:00:00 PM,21.664,0.0,,,,,
18,01/14/22 09:15:00 PM,21.569,0.0,,,,,
19,01/14/22 09:30:00 PM,21.569,0.0,,,,,
20,01/14/22 09:45:00 PM,21.473,0.0,,,,,
21,01/14/22 10:00:00 PM,21.473,0.0,,,,,
22,01/14/22 10:15:00 PM,21.473,0.0,,,,,
23,01/14/22 10:30:00 PM,21.378,0.0,,,,,
24,01/14/22 10:45:00 PM,21.282,0.0,,,,,
25,01/14/22 11:00:00 PM,21.282,0.0,,,,,
26,01/14/22 11:15:00 PM,21.282,0.0,,,,,
27,01/14/22 11:30:00 PM,21.187,0.0,,,,,
28,01/14/22 11:45:00 PM,21.187,0.0,,,,,
29,01/15/22 12:00:00 AM,21.091,0.0,,,,,
30,01/15/22 12:15:00 AM,21.091,0.0,,,,,
31,01/15/22 12:30:00 AM,20.996,0.0,,,,,
32,01/15/22 12:45:00 AM,20.996,0.0,,,,,
33,01/15/22 01:00:00 AM,20.996,0.0,,,,,
34,01/15/22 01:15:00 AM,20.901,0.0,,,,,
35,01/15/22 01:30:00 AM,20.901,0.0,,,,,
36,01/15/22 01:45:00 AM,20.805,0.0,,,,,
37,01/15/22 02:00:00 AM,20.710,0.0,,,,,
38,01/15/22 02:15:00 AM,20.710,0.0,,,,,
39,01/15/22 02:30:00 AM,20.615,0.0,,,,,
40,01/15/22 02:45:00 AM,20.615,0.0,,,,,
41,01/15/22 03:00:00 AM,20.519,0.0,,,,,
